#,Dato,Fila,Columna,Fuente,Latencia (ns), Ancho de Banda (Gbps)
  1,5f952,5,1,5,140,0.286
  2,2379f,5,1,5,320,0.125
  3,4d967,5,1,5,380,0.105
  4,0a5a7,5,1,5,400,0.100
  5,5762f,5,1,5,410,0.098
  6,43af9,5,1,5,450,0.089
  7,11b39,5,1,5,540,0.074
  8,63e54,5,1,5,630,0.063
  9,215ee,5,1,5,650,0.062
 10,5d1eb,5,1,5,730,0.055
 11,043e0,5,1,5,770,0.052
 12,2d9fc,5,1,5,790,0.051
 13,46592,5,1,5,830,0.048
 14,6377d,5,1,5,880,0.045
 15,4ea88,5,1,5,930,0.043
 16,17579,5,1,5,970,0.041
 17,25547,5,1,5,1030,0.039
 18,6840c,5,1,5,1060,0.038
 19,2780c,5,1,5,1140,0.035
 20,4d5d2,5,1,5,1190,0.034
 21,04ff2,5,1,5,1280,0.031
 22,210b0,5,1,5,1330,0.030
 23,2672d,5,1,5,1400,0.029
 24,4aaea,5,1,5,1420,0.028
 25,1fd2e,5,1,5,1430,0.028
 26,06e8b,5,1,5,1440,0.028
 27,358a1,5,1,5,1450,0.028
 28,741ca,5,1,5,1530,0.026
 29,39e74,5,1,5,1620,0.025
 30,60ffd,5,1,5,1660,0.024
 31,0236a,5,1,5,1710,0.023
 32,0cfd6,5,1,5,1800,0.022
 33,08147,5,1,5,1830,0.022
 34,60db8,5,1,5,1870,0.021
 35,18527,5,1,5,1890,0.021
 36,4552e,5,1,5,1920,0.021
 37,6d4a4,5,1,5,1980,0.020
 38,69a0d,5,1,5,2060,0.019
 39,06d6a,5,1,5,2100,0.019
 40,373de,5,1,5,2180,0.018
 41,3f514,5,1,5,2220,0.018
 42,02c83,5,1,5,2300,0.017
 43,40355,5,1,5,2330,0.017
 44,55742,5,1,5,2390,0.017
 45,44009,5,1,5,2480,0.016
 46,3000f,5,1,5,2510,0.016
 47,4d9c4,5,1,5,2550,0.016
 48,2752d,5,1,5,2580,0.016
 49,5663a,5,1,5,2650,0.015
 50,68890,5,1,5,2660,0.015
